32,511
33,455
34,223
35,329
36,69
37,76
38,4
39,479
40,455
41,455
42,463
43,365
44,503
45,495
46,503
47,427
48,65
49,455
50,131
51,385
52,329
53,133
54,85
55,203
56,65
57,65
58,487
59,487
60,365
61,365
62,365
63,451
64,0
65,268
66,1
67,87
68,17
69,6
70,11
71,84
72,40
73,455
74,385
75,10
76,54
77,40
78,40
79,81
80,9
81,80
82,8
83,5
84,195
85,113
86,97
87,40
88,42
89,227
90,386
91,455
92,238
93,455
94,219
95,511
96,479
97,260
98,21
99,343
100,336
101,325
102,451
103,276
104,28
105,455
106,455
107,46
108,455
109,77
110,284
111,341
112,277
113,340
114,331
115,325
116,199
117,372
118,357
119,301
120,302
121,357
122,391
123,455
124,455
125,455
126,365
